Artist,Album,Track,Time,day,genre
The Lawrence Arms,The Greatest Story Ever Told,The Revisionist,8/28/21 19:56,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,Hesitation Station,8/28/21 19:54,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,Chapter 13: The Hero Appears,8/28/21 19:52,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,The March of the Elephants,8/28/21 19:50,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,Fireflies,8/28/21 19:46,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,Alert the Audience!,8/28/21 19:44,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,Drunk Mouth Kitchen Smile,8/28/21 19:41,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,On With the Show,8/28/21 19:40,Saturday,rock
The Lawrence Arms,The Greatest Story Ever Told,The Raw and Searing Flesh,8/28/21 19:37,Saturday,rock
The Dopamines,Expect The Worst,Monroe,8/28/21 18:58,Saturday,punk
The Dopamines,Expect The Worst,Dick Simmons,8/28/21 18:56,Saturday,punk
The Beatles,Let It Be (2021 Mix),Don’t Let Me Down - First Rooftop Performance,8/28/21 17:58,Saturday,rock
The Beatles,Let It Be (2021 Mix),Let It Be - 2021 Mix,8/28/21 17:53,Saturday,rock
Latterman,We Are Still Alive,Dr. Sudholt And His Double Glasses,8/27/21 14:13,Friday,punk
Latterman,We Are Still Alive,If Batman Was Real He Would Have Beaten The Crap Out Of My Friends,8/27/21 14:10,Friday,punk
Latterman,We Are Still Alive,I Decided Not To Do Them,8/27/21 14:07,Friday,punk
Latterman,We Are Still Alive,Mumbled Words and Ridiculous Faces,8/27/21 14:05,Friday,punk
Latterman,We Are Still Alive,Water Manes At The Block's End,8/27/21 14:01,Friday,punk
The Dopamines,Tales of Interest,Expect the Worst,8/26/21 15:55,Thursday,punk
The Dopamines,Tales of Interest,Open Letter,8/26/21 15:53,Thursday,punk
The Dopamines,Tales of Interest,Pavlovian Fixations,8/26/21 15:51,Thursday,punk
The Dopamines,Tales of Interest,83133,8/26/21 15:50,Thursday,punk
The Dopamines,Tales of Interest,Midwesternplayalisticeconolinemuzik,8/26/21 15:47,Thursday,punk
The Dopamines,Tales of Interest,Common Rue,8/26/21 15:45,Thursday,punk
The Dopamines,Tales of Interest,Business Papers,8/26/21 15:42,Thursday,punk
The Dopamines,Tales of Interest,Ire,8/26/21 15:39,Thursday,punk
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/26/21 15:35,Thursday,punk
The Dopamines,Tales of Interest,Business Papers,8/25/21 19:24,Wednesday,punk
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/25/21 19:20,Wednesday,punk
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/25/21 19:16,Wednesday,punk
The Dopamines,Expect The Worst,Basement,8/25/21 14:33,Wednesday,punk
The Dopamines,Expect The Worst,Thankyouverymuch,8/25/21 14:31,Wednesday,punk
The Dopamines,Expect The Worst,Glendora,8/25/21 14:30,Wednesday,punk
The Dopamines,Expect The Worst,Monroe,8/25/21 14:29,Wednesday,punk
The Dopamines,Expect The Worst,Dick Simmons,8/25/21 14:27,Wednesday,punk
The Dopamines,Expect The Worst,October 24th,8/25/21 14:24,Wednesday,punk
The Dopamines,Expect The Worst,Straight Papers,8/25/21 14:22,Wednesday,punk
The Dopamines,Tales of Interest,Business Papers,8/25/21 13:44,Wednesday,punk
The Dopamines,Tales of Interest,Ire,8/25/21 13:41,Wednesday,punk
The Dopamines,Tales of Interest,The King of Swilling Powers Pt. I II III,8/25/21 13:37,Wednesday,punk
The Dopamines,Vices,You're So Vain Pt. 2,8/25/21 2:36,Wednesday,punk
The Dopamines,Expect The Worst,Cincinnati Harmony,8/25/21 2:22,Wednesday,punk
The Dopamines,Expect The Worst,Night Vision,8/25/21 2:20,Wednesday,punk
The Dopamines,Expect The Worst,Public Domain,8/25/21 2:18,Wednesday,punk
The Dopamines,Expect The Worst,You'd Make A Good Horsecop,8/25/21 2:16,Wednesday,punk
